UserId,Passed,Education,Name,Sex,Age,Sibling,Parent,IdCard,Placetest,Passport,English
1,0,3,"Braund, Mr. Owen Harris",male,22,2,0,4566,77,,B
2,1,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",female,38,1,0,4567,78,C85,I
3,1,3,"Heikkinen, Miss. Laina",female,26,5,2,4556,67,,B
4,1,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",female,35,1,2,113803,56,C123,I
5,1,3,"Allen, Mr. William Henry",male,35,1,2,373450,90,,A
6,0,3,"Moran, Mr. James",male,17,6,2,330877,84,,B
7,0,1,"McCarthy, Mr. Timothy J",male,54,0,0,17463,67,E46,I
8,1,3,"Palsson, Master. Gosta Leonard",male,23,3,1,349909,89,,A
9,1,3,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",female,27,6,2,347742,45,,B
10,1,2,"Nasser, Mrs. Nicholas (Adele Achem)",female,14,1,0,237736,34,,I
11,1,3,"Sandstrom, Miss. Marguerite Rut",female,16,1,1,3456,56,G6,A
12,1,1,"Bonnell, Miss. Elizabeth",female,58,0,0,113783,67,C103,A
13,0,3,"Saundercock, Mr. William Henry",male,20,3,0,5678,45,,B
14,0,3,"Andersson, Mr. Anders Johan",male,39,1,2,347082,67,,I
15,0,3,"Vestrom, Miss. Hulda Amanda Adolfina",female,14,0,0,350406,67,,A
16,1,2,"Hewlett, Mrs. (Mary D Kingcome) ",female,55,2,0,248706,58,,A
17,1,3,"Rice, Master. Eugene",male,22,4,1,382652,89,,A
18,1,2,"Williams, Mr. Charles Eugene",male,17,5,0,244373,90,,B
19,0,3,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",female,31,1,2,345763,67,,B
20,1,3,"Masselmani, Mrs. Fatima",female,17,3,0,2649,73,,I
21,0,2,"Fynney, Mr. Joseph J",male,35,4,2,239865,45,,I
22,1,2,"Beesley, Mr. Lawrence",male,34,0,0,248698,67,D56,I
23,1,3,"McGowan, Miss. Anna ""Annie""",female,15,0,0,330923,89,,B
24,1,1,"Sloper, Mr. William Thompson",male,28,2,0,113788,56,A6,I
25,0,3,"Palsson, Miss. Torborg Danira",female,18,3,1,349909,45,,A
26,1,3,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",female,38,1,2,347077,67,,A
27,0,3,"Emir, Mr. Farred Chehab",male,17,0,0,2631,59,,A
28,0,1,"Fortune, Mr. Charles Alexander",male,19,3,2,19950,78,D4567,I
29,1,3,"O'Dwyer, Miss. Ellen ""Nellie""",female,25,0,2,330959,90,,I
30,0,3,"Todoroff, Mr. Lalio",male,27,4,0,349216,67,,A
31,0,1,"Uruchurtu, Don. Manuel E",male,40,5,2,4567,56,,A
32,1,1,"Spencer, Mrs. William Augustus (Marie Eugenie)",female,20,1,1,45678,69,D567,B
33,1,3,"Glynn, Miss. Mary Agatha",female,20,2,0,335677,78,,A
34,0,2,"Wheadon, Mr. Edward H",male,66,0,0,453678,89,,I
35,1,1,"Meyer, Mr. Edgar Joseph",male,28,1,0,65789,67,,A
36,0,1,"Holverson, Mr. Alexander Oskar",male,42,1,0,784567,34,A3456,A
37,1,3,"Mamee, Mr. Hanna",male,20,0,0,2677,78,,A
38,0,3,"Cann, Mr. Ernest Charles",male,21,5,0,345678,78,,B
39,0,3,"Vander Planke, Miss. Augusta Maria",female,18,2,0,88686,45,,I
40,1,3,"Nicola-Yarred, Miss. Jamila",female,24,1,0,2348456,89,,I
41,0,3,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",female,40,1,0,25890,34,,B
42,0,2,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",female,27,1,0,534574,34,,B
43,0,3,"Kraeff, Mr. Theodor",male,20,0,0,349253,69,,B
44,1,2,"Laroche, Miss. Simonne Marie Anne Andree",female,20,1,2,3457894,79,,I
45,1,3,"Devaney, Miss. Margaret Delia",female,19,0,0,330958,89,,B
46,1,3,"Rogers, Mr. William John",male,20,0,0,6789590,99,,A
47,0,3,"Lennon, Mr. Denis",male,20,1,0,56899,45,,A
48,1,3,"O'Driscoll, Miss. Bridget",female,20,4,0,14311,67,,B
49,0,3,"Samaan, Mr. Youssef",male,20,2,0,2662,78,,B
50,0,3,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",female,18,1,0,349237,49,,I
51,0,3,"Panula, Master. Juha Niilo",male,27,4,1,3101295,57,,I
52,0,3,"Nosworthy, Mr. Richard Cater",male,21,1,0,34578,68,,A
53,1,1,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",female,49,1,0,34578,89,D4567,A
54,1,2,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",female,29,1,0,2926,67,,B
55,0,1,"Ostby, Mr. Engelhart Cornelius",male,65,0,1,113509,85,A456,B
56,1,1,"Woolner, Mr. Hugh",male,20,0,0,19947,67,C567,B
57,1,2,"Rugg, Miss. Emily",female,21,4,0,567890,89,,B
58,0,3,"Novel, Mr. Mansouer",male,20,0,0,2697,54,,B
59,1,2,"West, Miss. Constance Mirium",female,25,1,2,345678,68,,B
60,0,3,"Goodwin, Master. William Frederick",male,21,5,2,6799566,56,,I
61,0,3,"Sirayanian, Mr. Orsen",male,22,0,0,2669,48,,I
62,1,1,"Icard, Miss. Amelie",female,38,0,0,113572,97,B67889,A
63,0,1,"Harris, Mr. Henry Birkhardt",male,45,1,0,36973,68,C83,A
64,0,3,"Skoog, Master. Harald",male,24,3,2,347088,87,,B
65,0,1,"Stewart, Mr. Albert A",male,20,0,0,56789,56,,B
66,1,3,"Moubarek, Master. Gerios",male,20,1,1,2661,46,,I
67,1,2,"Nye, Mrs. (Elizabeth Ramell)",female,29,0,0,34678,89,G56,B
68,0,3,"Crease, Mr. Ernest James",male,19,0,0,67990,67,,I
69,0,3,"Andersson, Miss. Erna Alexandra",female,17,4,2,3101281,45,,A
70,0,3,"Kink, Mr. Vincenz",male,26,2,0,315151,76,,B
71,0,2,"Jenkin, Mr. Stephen Curnow",male,32,4,0,345678,89,,I
72,0,3,"Goodwin, Miss. Lillian Amy",female,16,5,2,689578,37,,A
73,0,2,"Hood, Mr. Ambrose Jr",male,21,0,0,679,87,,B
74,0,3,"Chronopoulos, Mr. Apostolos",male,26,2,0,2680,98,,I
75,1,3,"Bing, Mr. Lee",male,32,0,0,1601,56,,A
76,0,3,"Moen, Mr. Sigurd Hansen",male,25,0,0,348123,78,G667,A
77,0,3,"Staneff, Mr. Ivan",male,20,0,0,349208,34,,B
78,0,3,"Moutal, Mr. Rahamin Haim",male,20,4,0,374746,67,,I
79,1,2,"Caldwell, Master. Alden Gates",male,20,0,2,248738,89,,A
80,0,3,"Dowdell, Miss. Elizabeth",female,30,3,1,364516,56,,A
81,0,3,"Waelens, Mr. Achille",male,22,0,0,345767,78,,A
82,1,3,"Sheerlinck, Mr. Jan Baptist",male,29,0,0,345779,65,,A
83,1,3,"McDermott, Miss. Brigdet Delia",female,20,2,1,330932,65,,I
84,0,1,"Carrau, Mr. Francisco M",male,28,0,0,113059,68,,B
85,1,2,"Ilett, Miss. Bertha",female,17,0,0,6789890,79,,I
86,1,3,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",female,33,3,0,3101278,98,,I
87,0,3,"Ford, Mr. William Neal",male,16,1,2,12645,56,,B
88,0,3,"Slocovski, Mr. Selman Francis",male,20,0,0,87733,76,,B
89,1,1,"Fortune, Miss. Mabel Helen",female,23,3,2,19950,57,C456,B
90,0,3,"Celotti, Mr. Francesco",male,24,0,0,343275,48,,I
91,0,3,"Christmann, Mr. Emil",male,29,0,0,343276,98,,B
92,0,3,"Andreasson, Mr. Paul Edvin",male,20,0,0,347466,67,,B
93,0,1,"Chaffee, Mr. Herbert Fuller",male,46,1,0,856895,85,E31,I
94,0,3,"Dean, Mr. Bertram Frank",male,26,1,2,87430,78,,A
95,0,3,"Coxon, Mr. Daniel",male,59,0,0,364500,69,,A
96,0,3,"Shorney, Mr. Charles Joseph",male,20,0,0,374910,79,,A
97,0,1,"Goldschmidt, Mr. George B",male,71,0,0,63789,67,A5,B
